ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert
2024-08-15 00:10:56.055329084,CYInAn4Cx8UhDPYLt8,10.8.15.133,49782,20.42.72.131,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,browser.events.data.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:56.244920015,CPrKHe4sIqNKi6aRSe,10.8.15.133,49783,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,srtb.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:57.384829998,CJP2SMWvllqXYQc3h,10.8.15.133,49784,20.25.227.174,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,nav-edge.smartscreen.microsoft.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:11:08.416977882,Cp72HobYNk2YKHMCe,10.8.15.133,49787,104.40.82.182,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,app-edge.smartscreen.microsoft.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:11:11.326251030,C1sVYT16Dbz3yb2PWh,10.8.15.133,49792,20.10.31.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,client.wns.windows.com,F,-,-,T,CsxknGIi,"b17b344329326a1bdf4e572f6b321808cfeeaf76061b98971a97020ad033d623,511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea",(empty),T
2024-08-15 00:11:21.092569113,ClX7xw46UfykPh8uqi,10.8.15.133,49795,23.215.55.139,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,bzib.nelreports.net,F,-,-,T,CsiI,-,-,-
2024-08-15 00:11:21.044773102,CzlGGj2CiFFVPDW2L5,10.8.15.133,49794,204.79.197.239,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"c7e7d6cf1b4ebc82a4ab55595089dad05f6a45dfe54f87c71b2fbf5f159179ec,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T
2024-08-15 00:11:21.745461941,C3jWElXP52EDqUDhb,10.8.15.133,49793,204.79.197.239,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"c7e7d6cf1b4ebc82a4ab55595089dad05f6a45dfe54f87c71b2fbf5f159179ec,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T
2024-08-15 00:11:22.359009981,CFK96K3NXsYmcYhyl7,10.8.15.133,49798,23.53.13.196,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:11:24.086873055,CNXtob2pwgSSPAget8,10.8.15.133,49800,172.67.170.159,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,business.checkfedexexp.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:23.820523977,C9kOqp3ct7URI5oXyg,10.8.15.133,59301,23.220.103.18,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,th.bing.com,F,-,-,F,Cs,-,-,-
2024-08-15 00:11:48.054855108,C99zhq1m74R6COJql1,10.8.15.133,49808,40.126.29.5,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:11:48.980840921,CTDdr32GLxeb0MZzQd,10.8.15.133,49809,52.137.106.217,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,F,-,h2,T,CsxknGIi,"5a0238e0fce1cd8f03b1e0f3f41f6d31a87d126f2ababd69b3710174ec874e0e,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T
2024-08-15 00:10:49.653743029,CD8SKH1kntRvPUJd45,10.8.15.133,61578,23.220.103.18,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,F,-,-,F,Cs,-,-,-
2024-08-15 00:10:20.721662045,CQQrOWVc5LN6i59Ig,10.8.15.133,57486,23.220.103.18,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,F,-,-,F,Cs,-,-,-
2024-08-15 00:10:47.761701107,CofB7T2PFvaCEfPIVg,10.8.15.133,63563,23.220.103.8,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,th.bing.com,F,-,-,F,Cs,-,-,-
2024-08-15 00:10:56.179337025,Ci71UC2n7c1qmOVzEh,10.8.15.133,64608,23.220.103.18,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,F,-,-,F,Cs,-,-,-
2024-08-15 00:12:06.367791891,CKmI6p47fUbaQZ2sa,10.8.15.133,49815,40.126.29.5,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:12:33.106036901,CenLb3sCyJydR3oT,10.8.15.133,49816,52.182.143.215,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v10.events.data.microsoft.com,F,-,h2,T,CsxknGIi,"b8598c903332ffb3d4f8ab5be9f414a50087fd8001f958a536d5e1840630de3b,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T
2024-08-15 00:12:33.503071069,CkCQTA49LNWnCBd4m,10.8.15.133,49817,52.182.143.215,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v20.events.data.microsoft.com,F,-,h2,T,CsxknGIi,"b8598c903332ffb3d4f8ab5be9f414a50087fd8001f958a536d5e1840630de3b,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T
2024-08-15 00:13:13.686954975,CkTZ16C3OFHFTq1Bg,10.8.15.133,49826,40.126.29.5,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:13:17.564631939,CYMwrt4Iqt4W9WwId9,10.8.15.133,49832,52.123.128.254,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,dual-s-ring.msedge.net,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:13:17.856635094,C2IBlP2fJ4KCxV9tze,10.8.15.133,49833,23.53.13.205,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,ow1.res.office365.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:13:18.323436022,Ckl01N29XfD1oDXdyf,10.8.15.133,49834,13.107.4.254,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,c-ring.msedge.net,F,-,-,T,CjiICs,-,-,-
