ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,label
2025-01-22 20:28:12.425553083,CZhEtk3YnMy2MIFNEi,10.1.17.215,49939,142.250.114.102,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,clients2.google.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:28:12.357583046,CgTcoD22Z4YAmlQSDa,10.1.17.215,49935,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,static.edge.microsoftapp.net,F,-,-,T,CjiICs,-,-,-,0
2025-01-22 20:28:12.355809927,CpPEYL3IDgAaI3Wg81,10.1.17.215,49934,13.107.42.16,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,config.edge.skype.com,F,-,-,T,CjiICs,-,-,-,0
2025-01-22 20:28:12.445254087,COFN3o4xFhS0NFiZG6,10.1.17.215,49938,13.107.21.239,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"d65fa2a87698491bc906bc781eb57c8d64a83978275df3ff67abf7ea5267c386,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T,0
2025-01-22 20:28:12.641532898,CA4RQL3FjwZV8z1Si3,10.1.17.215,49944,40.126.29.10,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:28:13.821584940,CJcLQw1GUD4fnb3rab,10.1.17.215,49949,45.125.66.32,2917,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,secp521r1,45.125.66.32,F,-,-,T,CsxknGIi,05be53fe3e0bcd74e166963f3e703d095346a89d37da3546d96bc2462319dbb7,(empty),F,0
2025-01-22 20:28:12.717107058,Ct8Rg01jX7xn3tkZLf,10.1.17.215,49945,142.250.115.132,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,clients2.googleusercontent.com,F,-,-,F,Csi,-,-,-,0
2025-01-22 20:28:22.602140903,CBOdApUPtSpbtJ2Ea,10.1.17.215,49950,45.125.66.32,2917,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,secp521r1,45.125.66.32,F,-,-,T,CsxknGIi,05be53fe3e0bcd74e166963f3e703d095346a89d37da3546d96bc2462319dbb7,(empty),F,0
2025-01-22 20:28:25.917331934,CfBDZJ2NqHWfWGwwyd,10.1.17.215,49951,45.125.66.252,443,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,secp521r1,-,F,-,-,T,CsxknGIti,5d2dad692e2ed31b72f4b251da71588a08ed3ac33d0b41bc83e4fb0b9d58ddff,(empty),-,0
2025-01-22 20:32:27.865361929,CGiBmFtaKKxzTK2m2,10.1.17.215,49957,20.125.63.4,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,g.live.com,F,-,h2,T,CsxuknGIi,"fc874237221d004abd0cac814f94a4f8dd39b07808d29501c4fa2efcfc5c9a5e,33f9731be910a66dc6acd07d9d9ca212ee8d0a9a5c78c8bf3e89bb74df8fb936",(empty),T,0
